1	tt11402054	Viddana	2020	"Drama, Fantasy, History"	103	Ukraine	Ukrainian	Christina Sivolap	"Marianna Januszewicz, Alesya Romanova, Roman Lutskyi, Sebastian Cybulski, Yasin Faradzhallakh, Vazha Goderdzishvili, Aleksandr Kobzar, Maryna Koshkina, Kateryna Kukhar, Ada Rogovtseva, Nataliya Vasko, Irma Vitovskaya, Sergiy Volosovets, Yevgen Yanovych"	Welcome to the kitchen of the perfect maid Stefania Chornenko where she excels in cooking while intoxicating the marriage of her half-sister master Adelia Anger against the backdrop of 1900 small town on the outskirts of Austro-Hungary.	7.2		
2	tt10549312	Baba Parasi	2020	Comedy	116	Turkey	"Turkish, English"	Selçuk Aydemir	"Ahmet Kural, Murat Cemcir, Seher Devrim Yakut, Rasim Öztekin, Yagmur Tanrisevsin, Özgür Emre Yildirim, Deniz Barut, Giray Altinok, Ayhan Tas, Osman Alkas, Sabahattin Ozan Aslan, Kenan Dogan Ciniviz, Ferhat Feramuz, Oya Gürel, Onur Cavit Idin"	"A group of siblings that share nothing but a father come together after the patriarch's death to compete for his fortune. He left a save for his children, but took the password to the grave with him."	4.6		
3	tt10420532	Ask Tesadüfleri Sever 2	2020	Romance	124	Turkey	Turkish	"Ipek Sorak, Ömer Faruk Sorak"	"Nesrin Cavadzade, Yigit Kirazci, Elif Dogan, Aytaç Sasmaz, Zuhal Olcay, Türkü Turan, Ugur Polat, Levent Can, Erkan Can, Hülya Gülsen Irmak, Eli Mango"	"An unforgettable love that overcomes all obstacles, even time, distance and falling apart."	7.2		
4	tt11534356	Masallardan Geriye Kalan	2020	Romance	98	Turkey	Turkish	Mustafa Ugur Yagcioglu	"Özgür Çevik, Ilayda Akdogan, Tuba Ünsal, Anil Altinoz, Eda Akalin, Gulin Iyigun, Cansu Melis Karakus, Kerem Poyraz Kayaalp, Timur Yilmaz"	"""Remaining of the Tales"" is about love between a man who is an assoc.professor at the university and a girl who is a graduate student.In an unexpected time between the universe and the syllable, revealing that love is related to ourselves."	3.6		
5	tt11542214	Eltilerin Savasi	2020	"Comedy, Family"	118	Turkey	Turkish	Onur Bilgetay	"Gupse Ozay, Merve Dizdar, Ferit Aktug, Uraz Kaygilaroglu, Füsun Demirel, Ali Ipin, Hülya Duyar, Kubilay Tunçer, Gamze Demirbilek, Taylan Erler, Sanem Yeles, Yoni Yusuf Kalaora, Mekin Sezer, Ayta Sözeri, Vural Ceylan"	"Known for their devotion to social media, Gizem and Sultan's understanding of marriage is different. Two women enter into an endless competition with each other."	5.7		
6	tt11416594	Karakomik Filmler: Deli	2020	"Comedy, Drama"	60	Turkey	Turkish	Cem Yilmaz	"Cem Yilmaz, Büsra Develi, Özkan Ugur, Cem Davran, Emin Gürsoy, Gürkan Deniz Akhanli, Hamit Annak, Guclu Aydogdu, Öner S. Biberkökü, Senol Demir, Murat Dündar, Cengiz Gezgin, Onur Göksen, Oner Isik, Mehmet Küçükdurmaz"	"In the first part of Karakomik Filmler's sequel, Deli (Crazy) is about a taxi driver who's biggest wish is to sit across his loved one one day to get lost in her eyes. Trouble finds him while he's out working the night shift."	6.5		
7	tt11527964	Bayi Toplantisi	2020	Comedy	114	Turkey	Turkish	Bedran Güzel	"Ibrahim Büyükak, Onur Buldu, Dogu Demirkol, Büsra Pekin, Safa Sari, Deniz Sen Hamzaoglu, Riza Akin, Müfit Kayacan, Hakan Salinmis, Sacide Tasaner, Zeyno Eracar, Gamze Karaduman, Tugce Karabayir, Ahmet Ak, Ali Celal Aydiner"	"Three men going through difficult periods in their lives, intersect at a dealer meeting. After a series of unexpected events, they find themselves caught in a crazy plan."	4.6		
8	tt10472102	Karakomik Filmler: Emanet	2020	Comedy	60	Turkey	Turkish	Cem Yilmaz	"Cem Yilmaz, Çaglar Çorumlu, Özge Özpirinçci, Tülin Özen, Celil Nalcakan, Saba Tümer, Gülden Avsaroglu, Zafer Algöz, Seda Bakan, Tansu Biçer, Senol Demir, Emine Mine Güven, Ozan Güven, Acun Ilicali, Dilek Kaya"	"In the second part of Karakomik Filmler's sequel, Emanet is about an amateur dancer who dreams of fame. He tries to realise it by demonstrating his skills on TV, in a talent show."	5.6		
9	tt11529726	Laz Kit	2020	Comedy	107	Turkey	Turkish	"Zeki Akinci, Yusuf Atici"	"Tugba Özay, Çilgin Sedat, Sinan Bengier, Ahmet Çevik, Esra Sönmezer, Dost Elver, Volkan Saraçoglu, Cengiz Mülayim Çimen, Zeki Akinci, Aziz Özuysal, Sirin Yildirim, Sebnem Tuncer, Adem Yavuz Özata, Pinar Kankiliç, Resul Okan"	"Tells us famous cowboy Lucky Luke's missing brother, who lives in northern side of Turkey and known as ""Laz Kit""."	1.1		
10	tt11261270	Zengo	2020	Comedy	97	Turkey	Turkish	"Sahan Gökbakar, Muge Manus"	"Yasemin Sakallioglu, Dilsah Demir, Ece Irtem, Anil Acar, Nurgul Mutlu Akgunes, Selda Aktuna, Aygün Alpaslan, Filiz Azcan, Berk Balci, Cansel Beyaztas, Cansu may Birteksöz, Gul Canpolat, Irem Nisa Cantürk, Hasan Cavuslar, Aziz Demir"	"A housewife with a big passion for fashion and with the help of her tailor Fazilet, she is turning her ideas into reality, but she gets competition from her school day friend and rival Menkibe."	2.5		
11	tt10147910	The Maid	2020	"Drama, Fantasy, Horror"	100	Thailand	Thai	Lee Thongkham	"Ploy Sornarin, Savika Chaiyadej, Kannaporn Puangtong, Theerapat Sajakul, Ratchanok Suwannaket, Keetapat Pongrue, Natanee Sitthisaman, Venus Saksiri, Sorabodee Changsiri, Ounruan Rachote, Alina Homsangpradit"	"A teenager Joy, work as a domestic maid and being haunted by the previous maid spirit, to discover the secret behind her death."	5.7		
